object_id,y,x,green_id,red_id,status,area,green_peak,red_peak
101,384.0671814686006,406.5216820346683,101,98,double_positive,39,28.774251787691306,43.86111510162183
102,389.9384811616594,278.84361160647927,102,0,live_only,73,36.85682851619505,0.0
103,389.2070204184619,394.91194520168426,103,99,double_positive,42,13.143525764637396,42.38359426834703
104,392.0757914321764,132.45628700368505,104,102,double_positive,36,28.972460475027454,46.584244949167044
105,399.9425351071082,720.0337043772311,105,106,double_positive,35,21.17139842586642,19.69361152542975
106,403.1179359470083,130.11133932925227,106,107,double_positive,38,38.56714142294436,74.13937620690187
107,410.3634085456348,487.41095183702834,107,0,live_only,87,77.27066644093816,0.0
108,411.6625624821408,215.6427932812066,108,0,live_only,37,14.25752482782975,0.0
109,416.1105829431878,777.0136914268608,109,0,live_only,87,107.44469474399084,0.0
110,419.0521712320136,901.8996572292803,110,0,live_only,97,33.59679706401378,0.0
111,424.2043481574884,198.89146942685,111,114,double_positive,74,142.30222808715553,8.780727064097677
112,427.5662544792429,628.9454727836041,112,118,double_positive,44,20.14941204877045,52.8763188714684
113,433.6374753600836,475.5457338673233,113,0,live_only,93,28.988997813077177,0.0
114,432.4359095814099,671.5060474039188,114,0,live_only,105,85.7903989583877,0.0
115,435.94417402301394,690.0426250084522,115,120,double_positive,40,37.699484815968155,46.324015715306615
116,443.61659850947433,191.0117078300307,116,124,double_positive,40,29.11747039585213,40.107272797405564
117,449.4611613903649,36.31640361417075,117,0,live_only,102,22.352861752642482,0.0
118,450.65041751716245,745.3671814997705,118,129,double_positive,38,10.373397712057626,5.257354531609802
119,455.41270091319234,1005.2933683096518,119,0,live_only,93,200.07527570532514,0.0
120,455.4822626984899,623.0698811868134,120,128,double_positive,41,12.960576929916765,6.575229768514321
121,458.93942685852113,728.5448015881233,121,0,live_only,89,179.76128943746824,0.0
122,462.16137461667665,435.5393775453814,122,0,live_only,97,34.363126754155715,0.0
123,462.7837800308013,675.7536256227127,123,0,live_only,89,19.187950704341873,0.0
124,464.54119526072145,385.7309158586145,124,0,live_only,78,188.32868482165827,0.0
125,466.16077640863625,167.23506603654397,125,136,double_positive,46,19.492526930650772,34.03882698373471
126,473.81596000920246,338.98267349995143,126,0,live_only,133,86.16037981825225,0.0
127,475.5652735627367,200.45966365785733,127,0,live_only,104,180.28070075378568,0.0
128,471.3996280265827,806.220513136502,128,138,double_positive,31,19.252109596479993,13.875889959698439
129,477.36133112053903,766.4418867203684,129,0,live_only,99,171.6424948613324,0.0
130,485.87887747969074,96.01791022968628,130,0,live_only,104,170.7325843809864,0.0
131,486.29753985968216,991.6745970752146,131,144,double_positive,37,29.494533489619855,48.706807978666916
132,491.971080165746,552.1552924491218,132,0,live_only,103,24.807199596180148,0.0
133,492.27797636433235,163.71868469240542,133,0,live_only,26,10.910421381392169,0.0
134,497.8313301177259,260.60434389581883,134,0,live_only,123,220.27506093983408,0.0
135,496.91819940683143,405.2004150142419,135,0,live_only,87,160.15773436503264,0.0
136,501.40000842858075,596.3345481689367,136,0,live_only,118,217.8469486317909,0.0
137,502.07394984273867,431.0906390129454,137,0,live_only,69,38.284828186062526,0.0
138,505.1104155351817,823.8557921130051,138,0,live_only,133,61.08880994927292,0.0
139,501.91199666552785,748.7033124989698,139,151,double_positive,44,28.690496308866585,48.279482035049114
140,510.6662478964134,522.5071959324575,140,0,live_only,121,134.85588254345598,0.0
141,512.6551103238126,368.61551277261253,141,0,live_only,113,24.978736528951167,0.0
142,511.5911379311328,921.2148054013553,142,0,live_only,81,220.42365420365266,0.0
143,513.0249317195984,753.0380260277503,143,0,live_only,92,135.95637730398303,0.0
144,514.1809430755775,677.4038078312295,144,0,live_only,54,12.977457362121124,0.0
145,517.7365214051713,303.03348374598374,145,0,live_only,102,211.62251339850656,0.0
146,519.8843296925226,19.878015778064476,146,154,double_positive,43,32.27080154120108,30.22234807026436
147,529.4973447219013,900.4312331118291,147,0,live_only,102,20.182906289395138,0.0
148,536.6126742259382,902.9022564146583,148,0,live_only,68,12.547713647243876,0.0
149,533.746334156457,937.1684781907869,149,0,live_only,157,71.64840002637006,0.0
150,533.7448480534781,612.0335482967278,150,0,live_only,103,41.48899977059877,0.0
151,540.0228597080727,375.6451208702797,151,0,live_only,110,49.53263329353492,0.0
152,546.9322319965905,510.6031035803023,152,160,double_positive,108,214.33971586419372,15.723287070785199
153,555.2024774776794,394.12551502434445,153,164,double_positive,37,24.929393016652362,10.648659778531856
154,556.8243232774695,232.7956990790079,154,165,double_positive,34,11.210985001142419,31.64253484346509
155,560.6096577019634,101.2027581595292,155,0,live_only,113,227.7609380439971,0.0
156,559.7581906494182,920.618178835834,156,0,live_only,63,55.709804237730374,0.0
157,560.2719350927059,278.2665657898124,157,166,double_positive,43,26.673720376914645,64.23637164818192
158,564.4517876297708,443.0691004933501,158,167,double_positive,99,106.31071572127424,33.95192635075265
159,563.8931821466224,775.9512436347367,159,170,double_positive,42,31.296635149756764,58.73884522358511
160,573.467267744083,1009.3534227390751,160,0,live_only,148,180.70293266546017,0.0
161,574.9782790154759,496.3252713473265,161,0,live_only,82,35.02591734604226,0.0
162,577.120698427078,377.13047405909555,162,0,live_only,84,52.23841329784307,0.0
163,577.1088843986922,400.4637922597968,163,174,double_positive,46,38.68659805641052,52.81988416003788
164,586.0503384218871,954.5907080759984,164,0,live_only,93,30.839784052455816,0.0
165,588.3569539135012,910.5201788722019,165,182,double_positive,69,199.53827591035815,5.638425814241698
166,590.5370547440734,227.76695717812214,166,0,live_only,96,229.21643552701946,0.0
167,588.4976123497622,551.6165077441846,167,0,live_only,64,49.74841669128603,0.0
168,587.2210722319081,638.8171867845729,168,180,double_positive,30,20.5847785916025,16.637696161219658
169,590.8882860892509,563.7632841191495,169,0,live_only,75,71.66637606595667,0.0
170,595.3596221732645,470.7440918112399,170,185,double_positive,60,30.06026462122123,57.53841720830797
171,595.3195724069969,185.97938857498315,171,184,double_positive,38,25.808522384345057,40.166832015859605
172,601.4851906103179,505.1814678032697,172,0,live_only,173,24.592818101645758,0.0
173,599.1174752167718,669.9493216494487,173,0,live_only,85,222.8077769948273,0.0
174,601.2925290200652,693.6654829733146,174,0,live_only,20,16.806686940740725,0.0
175,602.6074133075786,47.2842436301658,175,0,live_only,113,174.81284528842718,0.0
176,601.9792495470112,84.38774873000212,176,0,live_only,89,169.7836415529788,0.0
177,600.8862405486897,739.0719780198912,177,0,live_only,51,18.961494075661637,0.0
178,605.9244726907972,263.6515195381571,178,0,live_only,103,23.187702338059022,0.0
179,610.4205626870302,196.8454753068123,179,0,live_only,56,13.527398913462338,0.0
180,610.5092575713344,593.0705192163622,180,0,live_only,107,184.76480278334583,0.0
181,612.775103509084,323.4424745165218,181,0,live_only,112,165.60147236149058,0.0
182,619.669513108566,515.5415762049699,182,0,live_only,53,29.76478967113004,0.0
183,622.098799946278,687.1350923610607,183,0,live_only,75,185.31803270359205,0.0
184,624.9724779493055,40.43850481252835,184,0,live_only,80,209.371735601261,0.0
185,624.3321162568085,532.3457695536246,185,0,live_only,112,180.74118083325166,0.0
186,624.8865865721676,867.9590688332468,186,0,live_only,79,115.31787238423995,0.0
187,627.551582768159,736.9917475216719,187,0,live_only,33,10.330999263283687,0.0
188,641.9405671351119,442.01248159489353,188,198,double_positive,123,232.6531143900028,48.42704179006364
