channel,id,y,x,area,peak_contrast,mean_raw,max_raw,parent_count
live,35,411.1746580033497,60.96734022213917,28,32.644336593457005,23.464285714285715,108.0,1
live,36,419.57292342492457,12.04340072018654,109,94.24438393576234,51.596330275229356,179.0,1
live,37,417.60281962088936,556.628222512054,25,12.37317543820243,16.2,53.0,1
live,38,421.4382134267123,741.7831142410218,89,182.21323467211135,82.79775280898876,255.0,1
live,39,419.03967575668827,900.6895896638994,24,16.32119593219079,18.333333333333332,47.0,1
live,40,425.65664113353307,850.1223979816253,21,17.42697152137642,17.761904761904763,62.0,1
live,41,433.87394811481784,784.9578856798203,36,17.394898923421756,14.722222222222221,64.0,1
live,42,440.4892782780898,427.23304960104906,130,218.9479875895359,116.85384615384615,255.0,1
live,43,440.67707435070076,296.6518831407145,84,121.9796310467234,58.857142857142854,191.0,1
live,44,440.6782584618646,142.43552169644127,30,32.817456138417135,23.166666666666668,97.0,1
live,45,441.50301654654163,334.8441549075815,22,17.068815570767022,18.136363636363637,59.0,1
live,46,444.14601693942365,639.213195436231,26,30.58613419661326,27.807692307692307,108.0,1
live,47,455.8186280131441,70.73624855375422,24,24.734949978304037,22.208333333333332,105.0,1
live,48,461.5194180872028,731.6452015599997,82,206.78662239628238,94.36585365853658,255.0,1
live,49,463.9962928497808,638.5164146795522,95,203.3318536876168,97.48421052631579,255.0,1
live,50,465.96829030086633,524.8913494402871,131,75.18706278817271,36.51908396946565,187.0,1
live,51,473.06325213438083,376.4464602587314,32,18.154897076956452,16.875,75.0,1
live,52,485.3024581597631,69.25250475108615,157,44.50827905937527,30.089171974522294,135.0,1
live,53,480.5176632339599,251.88199244825992,24,21.248600247237285,20.375,104.0,1
live,54,490.08207750443563,174.07407484883024,22,24.235495120439882,20.40909090909091,69.0,1
live,55,493.72353171093226,938.887972201807,72,18.55194415695334,15.88888888888889,89.0,1
live,56,513.1348192093328,93.78697686555678,95,233.46726165407347,117.47368421052632,255.0,1
live,57,517.0112521125875,246.24265397756676,34,21.071461440877606,17.176470588235293,59.0,1
live,58,519.2060064898862,408.2577281565419,85,89.71290334058445,46.8235294117647,186.0,1
live,59,522.7295748360451,311.7453698072509,102,21.47709623139013,18.53921568627451,69.0,1
live,60,524.1236010981554,591.9826990071182,72,24.115214372988248,19.0,85.0,3
live,61,520.0909291441261,598.9048062327033,20,10.136637882511799,16.2,44.0,3
live,62,521.3953048966373,965.296545394647,28,26.656643563315434,21.857142857142858,73.0,1
live,63,522.7691883721243,376.2191960522778,31,43.720098148147194,27.096774193548388,124.0,1
live,64,528.9779600857279,171.4464204516846,98,167.50697374947472,80.28571428571429,228.0,1
live,65,528.8403397699967,192.788778978948,26,40.535283997457164,32.34615384615385,134.0,1
live,66,529.595575669784,12.688102824573992,23,18.97753935531106,18.73913043478261,56.0,1
live,67,538.1944225122745,92.20940506126517,132,70.61771897130983,38.18939393939394,142.0,1
live,68,538.9740951940746,54.97754961280575,28,23.257796192868597,19.5,80.0,1
live,69,541.7193559841635,181.7233454962612,31,65.70925357846647,39.483870967741936,149.0,1
live,70,544.2915071265508,710.0487260939585,106,160.56168628061567,80.37735849056604,224.0,1
live,71,545.0387825297444,956.8817852138582,99,64.51221231254688,39.696969696969695,109.0,1
live,72,547.502829400391,876.8143894501353,20,18.007993561024715,19.75,71.0,1
live,73,552.5010751597945,933.6289588176542,96,115.48948262731304,52.385416666666664,210.0,1
live,74,553.9089817773004,362.3413166927445,108,216.75169337036368,121.96296296296296,255.0,1
live,75,558.5894818965985,130.47272755237,26,17.82849248716976,17.192307692307693,57.0,1
live,76,561.5102468376721,291.692353708989,94,70.69866533321975,36.680851063829785,143.0,1
live,77,565.8721157200494,373.9042669202129,120,221.42389755313891,93.675,255.0,1
live,78,567.0496026925591,544.7707472027178,26,10.126376966184857,15.384615384615385,77.0,1
live,79,579.2424219076543,19.101026875025823,99,33.38733122524747,21.626262626262626,87.0,1
live,80,579.6164745549883,504.41756913042894,160,108.56462791372734,56.525,189.0,1
live,81,582.8846011620966,714.6739363101278,86,199.22892139425983,87.6046511627907,255.0,1
live,82,596.2211761577295,972.6362249309717,104,32.14772857278927,22.692307692307693,95.0,1
live,83,598.156073664482,758.2847552521114,113,181.2181556324061,88.34513274336283,255.0,1
live,84,628.4002951925918,955.8516541355164,56,19.966415840851496,18.428571428571427,63.0,1
live,85,635.8667027088392,124.56195160589643,55,21.135958354281506,19.145454545454545,65.0,2
live,86,641.9016870399158,121.1895595006034,22,15.639727682088512,20.318181818181817,77.0,2
live,87,641.4697844456759,941.812247545058,23,15.507912510392043,16.217391304347824,73.0,1
live,88,648.0097914562225,709.9835082923022,65,158.6059502107237,61.98461538461538,255.0,1
live,89,655.2430453173663,91.25697246465305,102,36.61667180435404,24.245098039215687,132.0,1
live,90,658.9084488513031,595.4530352261642,133,62.25809479897803,36.54887218045113,122.0,1
live,91,661.9380947652002,119.10008020838576,96,121.31609898115299,52.645833333333336,214.0,1
live,92,661.3431847108767,225.7901715940355,121,171.41355260485116,93.46280991735537,241.0,1
live,93,664.3257708857175,309.7138764006767,33,25.70175569331766,21.363636363636363,86.0,1
live,94,666.9319002804908,321.25881809899994,50,20.693067520386887,18.18,76.0,1
live,95,669.004418114708,692.7628034899972,109,149.06848933363725,75.69724770642202,219.0,1
live,96,668.4432514979067,282.29994775449836,26,20.41366886988537,19.192307692307693,94.0,1
live,97,675.4833000016191,20.665217027644108,82,118.91084735372405,56.951219512195124,205.0,1
live,98,692.4227798706511,409.3102607097504,103,80.41379998242114,40.48543689320388,211.0,1
live,99,696.6609114121756,503.073973560648,128,34.705323979669814,22.234375,106.0,1
live,100,696.3208308817788,693.9103519937968,77,35.38913711364529,25.25974025974026,135.0,1
live,101,697.7107257072466,944.5098539458786,51,23.628242523918846,20.313725490196077,69.0,1
live,102,700.3677974780081,734.7191152293723,86,137.42747002719,62.383720930232556,209.0,1
live,103,705.3092833407791,776.699952211813,57,14.871274003163794,16.140350877192983,63.0,1
live,104,706.643808662548,625.4259973134385,103,59.64269226578076,32.28155339805825,116.0,1
live,105,705.1106432102083,813.1222533802639,20,17.724616220368954,18.5,53.0,1
live,106,720.9961232268089,687.575843352592,106,221.22112818651067,106.83018867924528,255.0,1
live,107,718.7916300994774,787.4836833736124,29,38.53144807952151,25.896551724137932,95.0,1
live,108,723.4021466935038,441.13999272986445,89,59.634858553830156,34.86516853932584,115.0,1
live,109,722.8382879341384,873.7479149677414,47,51.50808695455024,32.02127659574468,143.0,1
live,110,729.7083212352117,157.10886066869926,77,18.49218027214357,18.16883116883117,81.0,1
live,111,730.5350377253458,49.12467092073761,25,14.53768482550737,17.76,60.0,1
live,112,733.035220464538,356.94612630955766,103,216.89154378749157,103.95145631067962,255.0,1
live,113,742.2590597526831,104.33639301395269,99,211.80575809903306,107.52525252525253,255.0,1
live,114,752.9689568713711,148.31710753784233,174,50.64714436143122,27.03448275862069,133.0,2
live,115,763.2756055485543,146.96328279881513,27,10.280378774212897,17.444444444444443,52.0,2
live,116,752.523662812134,444.9980432080793,78,171.46441691071328,77.38461538461539,255.0,1
live,117,751.4513274068202,1011.2370705082539,32,12.051627459630936,15.40625,62.0,1
live,118,756.3944564947827,73.9101643114362,99,96.68129343040069,47.42424242424242,183.0,1
live,119,762.0639565697203,97.83304900575467,20,27.838373326603715,27.8,77.0,1
live,120,773.5638924281392,27.37792551923767,121,151.00067083434712,82.69421487603306,247.0,1
live,121,771.6411610442082,527.66561640606,24,27.455404699900363,23.583333333333332,93.0,1
live,122,789.5737583596806,79.9030820462518,81,159.4473074479752,65.4320987654321,255.0,1
live,123,785.2816996838704,340.0417206072608,21,13.433783877248995,17.142857142857142,62.0,1
live,124,785.7515844052785,401.4323965560862,23,22.71659948725069,17.08695652173913,110.0,1
live,125,789.4985936883829,646.1564869822579,104,110.86764475846945,60.97115384615385,201.0,1
live,126,790.7158976310449,31.665914968217372,69,190.62112860927462,94.10144927536231,250.0,1
live,127,794.8135086214822,668.2903578227886,100,233.14672230736545,127.2,255.0,1
live,128,799.2460438383804,885.64244660925,55,26.531319332112954,18.472727272727273,81.0,1
live,129,807.2836248904389,725.4207770816301,226,136.14085600825993,53.19469026548673,242.0,1
live,130,799.5756204249234,162.47696730830853,32,12.55982858370831,16.65625,50.0,1
live,131,808.1440693822946,497.0750438620041,121,191.1544812030668,97.5702479338843,255.0,1
live,132,811.0404415177466,462.49173332886795,100,35.87787600857081,26.96,96.0,1
live,133,813.3890179691473,105.64238627934853,98,155.8643840189259,72.70408163265306,249.0,1
live,134,810.8399956380317,689.7441611205262,36,38.21712876612804,27.0,122.0,1
live,135,815.6823070862465,446.00420057549996,83,190.96885494072208,88.08433734939759,255.0,1
live,136,821.6329730251148,849.3211487258342,36,25.460296862093752,20.833333333333332,83.0,2
live,137,824.0240185877072,856.6327555320648,22,10.42973115146466,14.727272727272727,49.0,2
live,138,826.828857536116,38.15939053010548,28,19.41548411847222,19.928571428571427,98.0,1
live,139,832.1809488711275,63.2976652773021,96,175.56222158250395,96.82291666666667,234.0,1
live,140,842.6718524015401,12.694372507313007,92,109.07936261401173,53.71739130434783,223.0,1
live,141,841.9039340051585,74.41005927247136,71,157.55567744185444,89.54929577464789,249.0,1
live,142,848.9387557811222,624.733015227983,46,23.640136745518845,18.41304347826087,70.0,1
live,143,855.9226658420505,86.68738807202179,109,216.3136871579578,117.5137614678899,255.0,1
live,144,865.2252392673804,480.07004291195705,89,87.88553789496544,49.82022471910113,182.0,2
